Name,HIFLD_Name,HIFLD_ID,city,City_Prop,zip,type,Type_Prop,status,Stat_Prop,county,Count_Prop,countyfips,StateShort,StateFull,country,latitude,longitude,naics_code,naics_desc,source,sourcedate,val_method,val_date,lines,LineTxt,max_volt,CurrentMax,min_volt,CurrentMin,max_infer,min_infer,MinVoltCat
Unknown114498,UNKNOWN114498,114498,DRAKES BRANCH,Drakes Branch,23937,SUBSTATION,Substation,IN SERVICE,In service,CHARLOTTE,Charlotte,51037,VA,Virginia,USA,36.991500083,-78.582422993,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014-07-15,IMAGERY,2014-07-15,1.0,1,115.0,115,115.0,115,Y,Y,115 to 229
Tap147167,TAP147167,147167,DRAKES BRANCH,Drakes Branch,23937,TAP,Tap,IN SERVICE,In service,CHARLOTTE,Charlotte,51037,VA,Virginia,USA,36.993240223,-78.58104244,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014-07-15,IMAGERY/OTHER,2015-08-14,3.0,3,115.0,115,115.0,115,Y,Y,115 to 229
Tap147166,TAP147166,147166,DRAKES BRANCH,Drakes Branch,23937,TAP,Tap,IN SERVICE,In service,CHARLOTTE,Charlotte,51037,VA,Virginia,USA,36.995085489,-78.571517779,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014-07-15,IMAGERY/OTHER,2015-08-14,3.0,3,115.0,115,115.0,115,Y,Y,115 to 229
Perth,PERTH,147663,NATHALIE,Nathalie,24577,SUBSTATION,Substation,IN SERVICE,In service,HALIFAX,Halifax,51083,VA,Virginia,USA,37.013663019,-79.004023621,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, http://www.pjm.com/system-map/default.html",2014-07-11,IMAGERY,2015-04-01,2.0,2,115.0,115,115.0,115,Y,Y,115 to 229
Tap147168,TAP147168,147168,KEYSVILLE,Keysville,23947,TAP,Tap,IN SERVICE,In service,CHARLOTTE,Charlotte,51037,VA,Virginia,USA,37.016315819,-78.581376639,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014-07-15,IMAGERY/OTHER,2015-08-14,3.0,3,115.0,115,115.0,115,Y,Y,115 to 229
Unknown114500,UNKNOWN114500,114500,KEYSVILLE,Keysville,23947,SUBSTATION,Substation,IN SERVICE,In service,CHARLOTTE,Charlotte,51037,VA,Virginia,USA,37.016535919,-78.581236846,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, EIA 860",2014-07-15,IMAGERY,2021-06-01,1.0,1,115.0,115,115.0,115,Y,Y,115 to 229
Tap171701,TAP171701,171701,NATHALIE,Nathalie,24577,TAP,Tap,IN SERVICE,In service,HALIFAX,Halifax,51083,VA,Virginia,USA,37.016703208,-79.007184395,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2020-03-31,IMAGERY,2020-03-31,3.0,3,115.0,115,115.0,115,Y,Y,115 to 229
Chase City,CHASE CITY,147977,CHASE CITY,Chase City,23924,SUBSTATION,Substation,IN SERVICE,In service,MECKLENBURG,Mecklenburg,51117,VA,Virginia,USA,36.8090598,-78.465551547,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, http://www.pjm.com/system-map/default.html",2014-07-14,IMAGERY,2015-04-01,7.0,7,115.0,115,115.0,115,Y,Y,115 to 229
Unknown114497,UNKNOWN114497,114497,CHASE CITY,Chase City,23924,SUBSTATION,Substation,IN SERVICE,In service,MECKLENBURG,Mecklenburg,51117,VA,Virginia,USA,36.81875568,-78.499893303,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014-07-14,IMAGERY,2014-07-14,1.0,1,115.0,115,115.0,115,Y,Y,115 to 229
Unknown114503,UNKNOWN114503,114503,KENBRIDGE,Kenbridge,23944,SUBSTATION,Substation,IN SERVICE,In service,LUNENBURG,Lunenburg,51111,VA,Virginia,USA,36.883555331,-78.203718341,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014-07-15,IMAGERY,2014-07-15,1.0,1,115.0,115,115.0,115,Y,Y,115 to 229
Tap148044,TAP148044,148044,KENBRIDGE,Kenbridge,23944,TAP,Tap,IN SERVICE,In service,LUNENBURG,Lunenburg,51111,VA,Virginia,USA,36.91861026,-78.195238629,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014-07-15,IMAGERY/OTHER,2015-08-14,3.0,3,115.0,115,115.0,115,Y,Y,115 to 229
Kenbridge,KENBRIDGE,148030,KENBRIDGE,Kenbridge,23944,SUBSTATION,Substation,IN SERVICE,In service,LUNENBURG,Lunenburg,51111,VA,Virginia,USA,36.959628202,-78.131723677,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, http://www.pjm.com/system-map/default.html",2014-07-15,IMAGERY,2015-04-01,1.0,1,115.0,115,115.0,115,Y,Y,115 to 229
Tap148048,TAP148048,148048,VICTORIA,Victoria,23974,TAP,Tap,IN SERVICE,In service,LUNENBURG,Lunenburg,51111,VA,Virginia,USA,36.972070479,-78.254618424,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2016-01-08,IMAGERY,2016-01-08,3.0,3,115.0,115,115.0,115,Y,Y,115 to 229
Tap148049,TAP148049,148049,VICTORIA,Victoria,23974,TAP,Tap,IN SERVICE,In service,LUNENBURG,Lunenburg,51111,VA,Virginia,USA,36.972637767,-78.253198406,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2016-01-08,IMAGERY,2016-01-08,3.0,3,115.0,115,115.0,115,Y,Y,115 to 229
Unknown114496,UNKNOWN114496,114496,VICTORIA,Victoria,23974,SUBSTATION,Substation,IN SERVICE,In service,LUNENBURG,Lunenburg,51111,VA,Virginia,USA,36.986953639,-78.221237008,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014-07-14,IMAGERY,2014-07-14,2.0,2,115.0,115,115.0,115,Y,Y,115 to 229
Unknown133870,UNKNOWN133870,133870,GREEN BAY,Green Bay,23942,SUBSTATION,Substation,IN SERVICE,In service,LUNENBURG,Lunenburg,51111,VA,Virginia,USA,37.044371378,-78.28227304,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2016-01-08,IMAGERY,2016-01-08,1.0,1,115.0,115,115.0,115,Y,Y,115 to 229
Tap148046,TAP148046,148046,CREWE,Crewe,23930,TAP,Tap,IN SERVICE,In service,NOTTOWAY,Nottoway,51135,VA,Virginia,USA,37.178458314,-78.150271999,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014-08-13,IMAGERY/OTHER,2015-08-14,3.0,3,115.0,115,115.0,115,Y,Y,115 to 229
Claypool Hill,CLAYPOOL HILL,113074,CEDAR BLUFF,Cedar Bluff,24609,SUBSTATION,Substation,IN SERVICE,In service,TAZEWELL,Tazewell,51185,VA,Virginia,USA,37.045245075,-81.775463668,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, https://aeptransmission.com/virginia/Tazewell-Bearwallow/docs/VOLUME%201%20(Exhibits%206%20through%2013).pdf",2014-06-25,IMAGERY,2019-02-06,2.0,2,138.0,138,138.0,138,Y,Y,115 to 229
Richlands,RICHLANDS,113073,RICHLANDS,Richlands,24641,SUBSTATION,Substation,IN SERVICE,In service,TAZEWELL,Tazewell,51185,VA,Virginia,USA,37.092140444,-81.806642638,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, https://aeptransmission.com/virginia/Tazewell-Bearwallow/docs/VOLUME%201%20(Exhibits%206%20through%2013).pdf",2014-06-25,IMAGERY,2019-02-06,4.0,4,138.0,138,69.0,69,Y,N,69 to 114
Tap160561,TAP160561,160561,RICHLANDS,Richlands,24641,TAP,Tap,IN SERVICE,In service,TAZEWELL,Tazewell,51185,VA,Virginia,USA,37.093407624,-81.804379449,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2019-02-06,IMAGERY,2019-02-06,3.0,3,69.0,69,69.0,69,N,N,69 to 114
Unknown156533,UNKNOWN156533,156533,RICHLANDS,Richlands,24641,SUBSTATION,Substation,IN SERVICE,In service,TAZEWELL,Tazewell,51185,VA,Virginia,USA,37.093692974,-81.804415953,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,OpenStreetMap,2017-10-09,IMAGERY,2017-10-16,1.0,1,69.0,69,69.0,69,N,N,69 to 114
Unknown117047,UNKNOWN117047,117047,NORTH TAZEWELL,North Tazewell,24630,SUBSTATION,Substation,IN SERVICE,In service,TAZEWELL,Tazewell,51185,VA,Virginia,USA,37.129408995,-81.49454493,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014-09-11,IMAGERY,2014-09-11,1.0,1,-999999.0,Unknown,-999999.0,Unknown,N,N,Unknown
Deadend167384,DEADEND167384,167384,RICHLANDS,Richlands,24641,DEAD END,Dead end,IN SERVICE,In service,TAZEWELL,Tazewell,51185,VA,Virginia,USA,37.103111886,-81.807995819,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2019-08-29,IMAGERY,2019-08-29,1.0,1,69.0,69,69.0,69,N,N,69 to 114
Coal Creek,COAL CREEK,117031,RAVEN,Raven,24639,SUBSTATION,Substation,IN SERVICE,In service,TAZEWELL,Tazewell,51185,VA,Virginia,USA,37.116324582,-81.870200702,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, https://aeptransmission.com/virginia/Tazewell-Bearwallow/docs/VOLUME%201%20(Exhibits%206%20through%2013).pdf",2014-09-10,IMAGERY,2019-02-06,2.0,2,69.0,69,69.0,69,N,N,69 to 114
Buckhorn,BUCKHORN,113080,NORTH TAZEWELL,North Tazewell,24630,SUBSTATION,Substation,IN SERVICE,In service,TAZEWELL,Tazewell,51185,VA,Virginia,USA,37.135488766,-81.495851519,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, https://aeptransmission.com/virginia/Tazewell-Bearwallow/docs/VOLUME%201%20(Exhibits%206%20through%2013).pdf",2014-06-25,IMAGERY,2019-02-06,2.0,2,138.0,138,138.0,138,Y,Y,115 to 229
Tazewell,TAZEWELL,155329,NORTH TAZEWELL,North Tazewell,24630,SUBSTATION,Substation,IN SERVICE,In service,TAZEWELL,Tazewell,51185,VA,Virginia,USA,37.147225259,-81.54471519,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap",2014-09-11,IMAGERY,2014-09-11,2.0,2,34.0,34,-999999.0,Unknown,N,N,Unknown
Knox Coal Creek,KNOX COAL CREEK,117032,RAVEN,Raven,24639,SUBSTATION,Substation,IN SERVICE,In service,TAZEWELL,Tazewell,51185,VA,Virginia,USA,37.14924145,-81.898242253,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, https://aeptransmission.com/virginia/Tazewell-Bearwallow/docs/VOLUME%201%20(Exhibits%206%20through%2013).pdf",2014-09-10,IMAGERY,2019-02-06,2.0,2,69.0,69,69.0,69,N,N,69 to 114
Tap153937,TAP153937,153937,ST PAULS,St Pauls,28384,TAP,Tap,IN SERVICE,In service,TAZEWELL,Tazewell,51185,VA,Virginia,USA,37.163480952,-81.800633971,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014-06-25,IMAGERY/OTHER,2015-08-14,3.0,3,69.0,69,69.0,69,N,N,69 to 114
Sandy Ridge,SANDY RIDGE,113075,RICHLANDS,Richlands,24641,SUBSTATION,Substation,IN SERVICE,In service,TAZEWELL,Tazewell,51185,VA,Virginia,USA,37.173709944,-81.815618283,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, https://aeptransmission.com/virginia/Tazewell-Bearwallow/docs/VOLUME%201%20(Exhibits%206%20through%2013).pdf",2014-06-25,IMAGERY,2019-02-06,1.0,1,69.0,69,69.0,69,N,N,69 to 114
Jewell Ridge,JEWELL RIDGE,113076,JEWELL RIDGE,Jewell Ridge,24622,SUBSTATION,Substation,IN SERVICE,In service,TAZEWELL,Tazewell,51185,VA,Virginia,USA,37.192425872,-81.783045603,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, https://aeptransmission.com/virginia/Tazewell-Bearwallow/docs/VOLUME%201%20(Exhibits%206%20through%2013).pdf",2014-06-25,IMAGERY,2019-02-06,3.0,3,69.0,69,69.0,69,N,N,69 to 114
Red Oak (AP),RED OAK (AP),117044,JEWELL RIDGE,Jewell Ridge,24622,SUBSTATION,Substation,IN SERVICE,In service,TAZEWELL,Tazewell,51185,VA,Virginia,USA,37.212171842,-81.752377755,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, https://aeptransmission.com/virginia/Tazewell-Bearwallow/docs/VOLUME%201%20(Exhibits%206%20through%2013).pdf",2014-09-11,IMAGERY,2019-02-06,1.0,1,69.0,69,69.0,69,N,N,69 to 114
Tap151950,TAP151950,151950,JEWELL RIDGE,Jewell Ridge,24622,TAP,Tap,IN SERVICE,In service,TAZEWELL,Tazewell,51185,VA,Virginia,USA,37.212907691,-81.754289652,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014-09-11,IMAGERY/OTHER,2015-08-14,3.0,3,69.0,69,69.0,69,N,N,69 to 114
